time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-12T04:40:49.948Z,34.31,73.5795,10,4.3,mb,24,176,0.707,0.72,us,us6000k3q6,2023-04-14T03:51:02.309Z,"12 km ESE of Muzaffar?b?d, Pakistan",earthquake,6.36,1.97,0.168,10,reviewed,us,us
2023-04-08T09:07:36.806Z,34.654,70.6313,51.614,4.4,mb,35,135,1.315,0.47,us,us6000k2un,2023-04-09T05:16:57.681Z,"30 km NNE of Jal?l?b?d, Afghanistan",earthquake,7.59,10.21,0.076,53,reviewed,us,us
2023-03-30T19:18:55.205Z,35.628,70.8486,93.182,4.2,mb,50,100,1.835,0.55,us,us6000k0y6,2023-04-12T16:50:36.040Z,"23 km NNW of P?r?n, Afghanistan",earthquake,6.98,7.8,0.112,22,reviewed,us,us
2023-03-29T00:19:14.335Z,34.6026,70.6043,52.985,4.3,mb,48,78,1.29,0.93,us,us6000k0gc,2023-03-30T09:45:23.422Z,"Hindu Kush region, Afghanistan",earthquake,5.68,5.69,0.081,43,reviewed,us,us
2023-02-24T01:06:31.718Z,33.7601,72.7349,10,4.1,mb,26,165,0.458,0.62,us,us6000jr5s,2023-03-17T01:15:37.410Z,"27 km E of Sanjwal, Pakistan",earthquake,4.79,1.859,0.14,14,reviewed,us,us
2023-02-12T09:01:06.922Z,31.682,69.9963,10,4.2,mb,29,120,2.961,0.74,us,us6000jqbi,2023-02-26T07:02:31.040Z,"51 km WSW of Kulachi, Pakistan",earthquake,10.11,1.926,0.141,14,reviewed,us,us
2023-01-29T07:54:47.532Z,33.5931,72.8907,30.793,4.4,mb,39,176,0.321,0.52,us,us6000jk4q,2023-04-13T21:53:08.040Z,"14 km W of Rawalpindi, Pakistan",earthquake,10.11,7.211,0.127,18,reviewed,us,us
2023-01-19T11:30:42.960Z,35.5464,71.3961,104.372,5.1,mww,115,46,2.176,0.7,us,us7000j5hh,2023-03-31T19:45:23.040Z,"45 km ENE of P?r?n, Afghanistan",earthquake,5.86,4.417,0.08,15,reviewed,us,us
2023-01-04T10:04:28.046Z,31.7032,73.979,10,4.2,mb,16,182,2.032,0.68,us,us7000j22v,2023-03-11T22:51:39.040Z,"1 km SSW of Shekhupura, Pakistan",earthquake,8.81,1.994,0.264,4,reviewed,us,us
2023-01-01T21:24:15.849Z,29.7295,70.1934,10,4.3,mb,33,138,4.706,0.68,us,us7000j1h6,2023-03-11T22:51:30.040Z,"25 km NW of Dajal, Pakistan",earthquake,9.06,1.935,0.153,12,reviewed,us,us
