time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-10T00:46:37.031Z,22.9862,94.8602,141.001,4.6,mb,56,50,2.991,0.43,us,us6000k36y,2023-04-11T05:36:07.274Z,"86 km SSE of Mawlaik, Myanmar",earthquake,9.04,5.531,0.089,38,reviewed,us,us
2023-04-08T11:52:40.719Z,25.219,96.3038,10,4.2,mb,28,120,4.48,0.64,us,us6000k2v1,2023-04-08T15:42:11.988Z,"111 km W of Myitkyina, Myanmar",earthquake,8.16,1.86,0.131,17,reviewed,us,us
2023-03-25T12:03:44.799Z,22.6542,95.3355,11.095,4.2,mb,16,136,2.453,0.29,us,us7000jmp2,2023-04-16T08:59:29.040Z,"Myanmar",earthquake,8.9,4.668,0.152,12,reviewed,us,us
2023-03-24T03:22:42.572Z,24.1675,93.794,78.995,4.4,mb,32,73,2.471,0.52,us,us6000k0lk,2023-03-29T22:13:14.040Z,"22 km SE of Chur?ch?ndpur, India",earthquake,9.67,8.197,0.155,12,reviewed,us,us
2023-03-12T11:43:43.297Z,24.276,94.7151,113.11,4.6,mb,77,48,4.097,0.43,us,us7000jjbm,2023-03-24T07:27:24.040Z,"74 km ESE of W?ngjing, India",earthquake,2.94,6.734,0.06,83,reviewed,us,us
2023-02-26T04:19:53.486Z,25.6554,90.4081,10,4.3,mb,21,163,5.059,0.8,us,us7000jhnb,2023-04-06T00:15:57.040Z,"Meghalaya, India region",earthquake,9.05,1.929,0.161,11,reviewed,us,us
2023-02-16T03:56:28.218Z,25.1917,91.8394,57.099,4.3,mb,39,111,2.51,1.02,us,us6000jpaj,2023-03-09T05:16:15.233Z,"18 km SE of Cherrapunji, India",earthquake,3.6,8.331,0.129,18,reviewed,us,us
2023-02-12T23:01:18.050Z,23.0353,94.5227,104.754,4.3,mb,24,107,2.68,0.35,us,us6000jqc6,2023-03-06T02:35:19.040Z,"Myanmar",earthquake,9.39,8.733,0.16,11,reviewed,us,us
2023-02-12T22:45:05.505Z,27.986,88.0003,60.903,4,mb,40,66,2.416,0.81,us,us6000jni5,2023-03-28T21:51:14.040Z,"Sikkim, India",earthquake,9.32,9.377,0.102,26,reviewed,us,us
2023-02-12T10:48:14.855Z,26.3749,92.9259,10,4.2,mb,20,128,5.67,0.47,us,us6000jngh,2023-03-04T07:57:48.715Z,"",earthquake,10.21,1.952,0.176,9,reviewed,us,us
