time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-04T09:45:40.485Z,24.2251,68.4329,10,4.9,mb,,80,10.293,0.74,us,us7000frd2,2022-01-14T17:58:59.040Z,"22 km SE of Jati, Pakistan",earthquake,7.7,1.7,0.065,74,reviewed,us,us
2021-05-16T22:07:22.008Z,20.6607,71.4793,10,4.1,mb,,73,13.037,0.99,us,us7000e51v,2021-07-24T21:07:26.040Z,"41 km S of R?jula, India",earthquake,6.9,1.9,0.114,21,reviewed,us,us
2020-11-07T10:09:22.561Z,21.5017,73.219,10,3.9,mb,,262,12.103,0.55,us,us7000cc8r,2021-01-23T22:25:38.040Z,"27 km E of Kosamba, India",earthquake,10.3,2,0.17,9,reviewed,us,us
2020-07-16T02:10:29.094Z,22.2558,70.9928,10,4.1,mb,,112,11.529,0.54,us,us7000apfs,2020-09-26T16:58:31.040Z,"20 km E of R?jkot, India",earthquake,13.7,2,0.151,12,reviewed,us,us
2020-06-15T07:27:35.084Z,22.9861,70.2272,10,3.8,mb,,193,11.56,0.96,us,us6000acfz,2020-08-22T19:14:54.040Z,"5 km SSE of K?ndla, India",earthquake,15.7,2,0.136,14,reviewed,us,us
2020-06-14T14:43:08.390Z,23.3821,70.3548,10,5.1,mb,,40,11.178,0.74,us,us6000abp7,2022-03-10T05:23:19.141Z,"9 km N of Bhach?u, India",earthquake,8.9,1.8,0.036,255,reviewed,us,us
2020-05-09T10:06:46.736Z,22.1166,68.963,10,4.1,mb,,256,12.039,0.44,us,us70009d7u,2020-07-29T22:14:23.040Z,"13 km S of Dw?rka, India",earthquake,13.7,2,0.103,26,reviewed,us,us
2019-12-13T23:52:40.214Z,20.0829,73.1729,10,4.3,mb,,103,13.231,1.21,us,us60006rxd,2020-03-04T21:27:07.040Z,"19 km NNW of Jawh?r, India",earthquake,8.7,1.9,0.137,15,reviewed,us,us
2019-11-18T13:31:08.384Z,23.5799,70.4585,10,4.6,mb,,109,10.332,0.68,us,us70006d8k,2020-07-10T17:55:11.612Z,"19 km W of R?par, India",earthquake,9.5,1.7,0.125,19,reviewed,us,us
2019-06-05T17:01:12.400Z,24.537,72.7357,10,4,mb,,112,9.093,0.84,us,us70003vv0,2019-08-27T17:47:36.040Z,"6 km SSE of ?bu, India",earthquake,5.4,2,0.111,22,reviewed,us,us
2019-03-01T05:44:26.440Z,20.2344,72.8943,10,4,mb,,162,13.368,1.11,us,us1000j959,2019-05-14T18:36:14.040Z,"11 km WSW of Silvassa, India",earthquake,9.8,1.8,0.119,19,reviewed,us,us
2018-03-28T22:33:05.980Z,23.1716,70.4448,10,4.2,mb,,76,10.731,0.9,us,us1000dagp,2022-08-08T01:36:37.563Z,"17 km SE of Bhach?u, India",earthquake,9.1,1.9,0.089,35,reviewed,us,us
2016-07-17T03:54:57.560Z,21.4276,71.5526,10,4.1,mb,,153,12.271,0.63,us,us20006far,2016-09-17T01:27:48.040Z,"12 km SSW of Gariadhar, India",earthquake,14.5,1.9,0.117,20,reviewed,us,us
2015-10-06T00:28:23.290Z,24.0615,70.2017,10,4.3,mb,,151,12.409,1.41,us,us10003kl7,2016-01-04T22:29:17.040Z,"70 km S of Islamkot, Pakistan",earthquake,10.7,1.9,0.189,8,reviewed,us,us
2013-07-29T13:07:03.000Z,23.2863,70.4026,20,4,mb,,126,10.628,0.95,us,usb000iztl,2015-06-22T20:11:47.742Z,"6 km ESE of Bhach?u, India",earthquake,7.4,6.2,0.157,,reviewed,us,us
2013-03-07T15:56:40.300Z,24.362,68.572,20,4.5,mb,83,108,,1.13,us,usb000fh2m,2020-07-10T17:57:34.355Z,"30 km E of Jati, Pakistan",earthquake,,0,,48,reviewed,us,us
2012-12-08T07:06:10.080Z,22.96,70.302,10,4.1,mb,40,128.1,,0.87,us,usp000jwp1,2014-11-07T01:49:34.337Z,"11 km SE of K?ndla, India",earthquake,,,,16,reviewed,us,us
2012-06-19T20:14:05.720Z,23.647,70.252,28.6,5,mb,192,87.5,,1.01,us,usp000jmzk,2022-05-03T15:42:47.737Z,"39 km NNW of Bhach?u, India",earthquake,,4.2,,111,reviewed,us,us
2012-04-14T03:22:59.690Z,23.239,70.439,10,4,mb,17,125.8,,1.01,us,usp000jhx2,2014-11-07T01:47:31.121Z,"11 km SE of Bhach?u, India",earthquake,,,,4,reviewed,us,us
2011-10-20T17:18:34.170Z,21.211,70.533,10,5.1,mwc,89,72,,0.81,us,usp000j9m2,2022-04-08T22:08:27.463Z,"15 km SE of Mendarda, India",earthquake,,,,,reviewed,us,gcmt
2011-08-13T02:59:12.930Z,23.321,70.242,10,4.3,mb,15,149.2,,0.81,us,usp000j6d7,2014-11-07T01:45:36.101Z,"10 km WNW of Bhach?u, India",earthquake,,,,4,reviewed,us,us
